"","growthPhase","carbonSource","media","experiment","growthTime_hr","doublingTimeMinutes","Mg_mM","Na_mM","Mg_mM_Levels","Na_mM_Levels","generations_per_hour"
"1","exponential","glucose","MURI_016","glucose_time_course",3,53.67995457,0.8,5,"baseMg","baseNa",1.11773567024463
"2","exponential","glucose","MURI_017","glucose_time_course",4,53.67995457,0.8,5,"baseMg","baseNa",1.11773567024463
"3","exponential","glucose","MURI_018","glucose_time_course",5,53.67995457,0.8,5,"baseMg","baseNa",1.11773567024463
"4","exponential","glucose","MURI_019","glucose_time_course",6,53.67995457,0.8,5,"baseMg","baseNa",1.11773567024463
"5","exponential","glucose","MURI_020","glucose_time_course",8,53.67995457,0.8,5,"baseMg","baseNa",1.11773567024463
"6","exponential","glucose","MURI_025","glucose_time_course",3,53.67995457,0.8,5,"baseMg","baseNa",1.11773567024463
"7","exponential","glucose","MURI_026","glucose_time_course",4,53.67995457,0.8,5,"baseMg","baseNa",1.11773567024463
"8","exponential","glucose","MURI_027","glucose_time_course",5,53.67995457,0.8,5,"baseMg","baseNa",1.11773567024463
"9","exponential","glucose","MURI_028","glucose_time_course",6,53.67995457,0.8,5,"baseMg","baseNa",1.11773567024463
"10","exponential","glucose","MURI_029","glucose_time_course",8,53.67995457,0.8,5,"baseMg","baseNa",1.11773567024463
"11","exponential","glycerol","MURI_034","glycerol_time_course",5,84.09256028,0.8,5,"baseMg","baseNa",0.713499503406962
"12","exponential","glycerol","MURI_035","glycerol_time_course",7,84.09256028,0.8,5,"baseMg","baseNa",0.713499503406962
"13","exponential","glycerol","MURI_036","glycerol_time_course",8,84.09256028,0.8,5,"baseMg","baseNa",0.713499503406962
"14","exponential","glycerol","MURI_037","glycerol_time_course",10,84.09256028,0.8,5,"baseMg","baseNa",0.713499503406962
"15","exponential","glycerol","MURI_038","glycerol_time_course",14,84.09256028,0.8,5,"baseMg","baseNa",0.713499503406962
"16","exponential","glycerol","MURI_043","glycerol_time_course",5,84.09256028,0.8,5,"baseMg","baseNa",0.713499503406962
"17","exponential","glycerol","MURI_044","glycerol_time_course",7,84.09256028,0.8,5,"baseMg","baseNa",0.713499503406962
"18","exponential","glycerol","MURI_045","glycerol_time_course",8,84.09256028,0.8,5,"baseMg","baseNa",0.713499503406962
"19","exponential","glycerol","MURI_046","glycerol_time_course",10,84.09256028,0.8,5,"baseMg","baseNa",0.713499503406962
"20","exponential","glycerol","MURI_047","glycerol_time_course",14,84.09256028,0.8,5,"baseMg","baseNa",0.713499503406962
"21","exponential","glycerol","MURI_052","glycerol_time_course",5,84.09256028,0.8,5,"baseMg","baseNa",0.713499503406962
"22","exponential","glycerol","MURI_053","glycerol_time_course",7,84.09256028,0.8,5,"baseMg","baseNa",0.713499503406962
"23","exponential","glycerol","MURI_054","glycerol_time_course",8,84.09256028,0.8,5,"baseMg","baseNa",0.713499503406962
"24","exponential","glycerol","MURI_055","glycerol_time_course",10,84.09256028,0.8,5,"baseMg","baseNa",0.713499503406962
"25","exponential","glycerol","MURI_056","glycerol_time_course",14,84.09256028,0.8,5,"baseMg","baseNa",0.713499503406962
"26","exponential","glucose","MURI_069","NaCl_stress",6,62.59630672,0.8,5,"baseMg","baseNa",0.958523004693974
"27","exponential","glucose","MURI_070","NaCl_stress",6.5,66.03566192,0.8,100,"baseMg","highNa",0.908599963345382
"28","exponential","glucose","MURI_071","NaCl_stress",8,71.7909528,0.8,200,"baseMg","highNa",0.835759906504542
"29","exponential","glucose","MURI_072","NaCl_stress",10,94.55206746,0.8,300,"baseMg","highNa",0.634570999998311
"30","exponential","glucose","MURI_077","NaCl_stress",5.5,62.59630672,0.8,5,"baseMg","baseNa",0.958523004693974
"31","exponential","glucose","MURI_078","NaCl_stress",7.5,66.03566192,0.8,100,"baseMg","highNa",0.908599963345381
"32","exponential","glucose","MURI_079","NaCl_stress",8,71.7909528,0.8,200,"baseMg","highNa",0.835759906504542
"33","exponential","glucose","MURI_080","NaCl_stress",10,94.55206746,0.8,300,"baseMg","highNa",0.634570999998311
"34","exponential","lactate","MURI_085","lactate_growth",9,100.4307315,0.8,5,"baseMg","baseNa",0.597426695035075
"35","exponential","lactate","MURI_087","lactate_growth",8,100.4307315,0.8,5,"baseMg","baseNa",0.597426695035075
"36","exponential","lactate","MURI_089","lactate_growth",9,100.4307315,0.8,5,"baseMg","baseNa",0.597426695035075
"37","exponential","gluconate","MURI_091","gluconate_growth",6,62.72714551,0.8,5,"baseMg","baseNa",0.956523679057495
